id,pagefrom,title,description,sentanalyze,photolink,newslink
5,nur.kz,"Как стать счастливым, рассказали психологи","Как рассказала агентству доктор философских и психологических наук, постдок факультета психиатрии в Маунт-Синай Бет Израел (Нью-Йорк) Рафаэла Калати, вопрос счастья очень важен в современном мире.  ""Счастье — это быть живым, любить то, чем ты занимаешься, свою работу, деятельность. Также для счастья необходимо научиться сохранять баланс между сложными аспектами нашей жизни и простыми. Ключ к счастью — научиться принимать то, чего мы не можем изменить в нашей жизни, и нужно научиться позитивно воспринимать окружающий мир и искать положительные моменты, причины жить"", — сказала психолог.  Президент Международного союза психологических наук при ЮНЕСКО Сазасивэн Купер в свою очередь отметил, что у молодежи есть шанс все изменить, чтобы стать счастливыми.  ""Мы можем ответить на вопрос, как человечеству стать счастливым, посмотрев на молодых людей, которые имеют шанс все изменить. Чтобы обрести личное счастье, нужно понимать, каким человеком ты видишь себя, понимать свои приоритеты и находить тех людей, которые пом",1,https://netstorage-nur.akamaized.net/images/dab7be15cd5a3e97.jpg?impolicy=common-image&imwidth=700,https://www.nur.kz/1803511-kak-stat-scastlivym-rasskazali-psihologi.html
6,nur.kz,Восемь ошибок в семи предложениях: Собчак распекли за безграмотность,"Дело в том, что всего лишь в семи предложениях Ксения Анатольевна умудрилась сделать как минимум восемь орфографических и пунктуационных ошибок. На своеобразный «литературный стиль» Собчак обратил внимание Telegram-канал «Планерка».  Телеведущая решила похвастаться тем, что она стала совладелицей и партнером рекламного агенства June&July PR Agency.«Легко определить, когда Ксения Собчак пишет свои посты сама. Орфография и пунктуация курят в сторонке. Про правильность пробелов вообще молчим», — указали авторы.  Добавим, что на безграмотность Собчак обратили внимание даже ее поклонники.  «Вот так посмотришь и подумаешь: зачем учиться в школе, вузе, напрягаться, если можно заниматься такой *** и жить припеваючи?» — задается вопросом один из подписчиков аккаунта телеведущей.",1,https://netstorage-nur.akamaized.net/images/eef23500b53481d9.jpg?impolicy=common-image&imwidth=700,https://www.nur.kz/1803510-vosem-osibok-v-semi-predlozeniah-sobcak-raspekli-za-bezgramotnost.html
7,nur.kz,Уродливую статую Мелании Трамп установили рядом с ее родным городом,"Об этом сообщается на сайте столичной галереи Match.  Статуя установлена на берегу реки Савы в населенном пункте Рожно недалеко от родного города первой леди США — Севницы. Скульптура изображает Меланию Трамп в голубом платье, в котором она присутствовала на инаугурации супруга. Рукой она приветствует город.  Изваяние выполнено из дерева в жанре наивного искусства, что предполагает условность его восприятия. Так, заметна намеренная грубость при выполнении черт лица и фигуры.  В соцсетях неоднозначно оценили работу скульптура, посчитав ее непохожей на супругу американского лидера, пишет «Би-би-си». Так, пользователи нашли сходство статуи со Смурфеттой (героиня мультфильма «Смурфы» — прим. «Ленты.ру»), назвали ее причудливой, уродливой и позорной.  Автор концепции — американский художник Брэда Дауни. Отмечается, что ему принадлежит только идея скульптуры, саму работу выполнял наемный работник, который с помощью бензопилы претворил ее в жизнь. Показ статуи — часть выставки Ta Eho («Это Эхо»), которая открылась в",-1,https://netstorage-nur.akamaized.net/images/c15167f74d3910fb.jpg?impolicy=common-image&imwidth=700,https://www.nur.kz/1803502-urodlivuu-statuu-melanii-tramp-ustanovili-radom-s-ee-rodnym-gorodom.html
8,nur.kz,Названы гонорары российских юмористов,"Самый большой гонорар — у Максима Галкина. За одно выступление он требует 3 миллиона 581 тысячу рублей.  Артист Comedy Club Александр Ревва работает на корпоративах за сумму от 2 миллионов рублей, участница «Уральских пельменей» Юлия Михалкова требует 858 тысяч рублей. Пригласить на мероприятие Евгения Петросяна обойдется в 700 тысяч рублей.  В нижнем диапазоне цен (от 150 до 400 тысяч рублей) работают артисты «Кривого зеркала» (Александр Морозов, Владимир Моисеенко, Владимир Данилец) и выпускники «Аншлага» (Елена Воробей, Николай Лукинский, Клара Новикова, Геннадий Ветров).  Отмечается, что выступления коллективов стоят для заказчика дороже. Шоу «Уральских пельменей» начинается от полутора миллионов рублей, артистки Comedy Woman согласятся на выступление при цене от одного миллиона 790 тысяч за полчаса. «Новые русские бабки» потребуют 500 тысяч рублей за концертную программу продолжительностью в час.",1,https://netstorage-nur.akamaized.net/images/a4b8d41e35cdf126.jpg?impolicy=common-image&imwidth=700,https://www.nur.kz/1803499-nazvany-gonorary-rossijskih-umoristov.html
9,nur.kz,«Его предавали»: Масимов рассказал о переживаниях Назарбаева,"Масимов отметил, что всегда для Первого Президента главными были профессиональные качества человека.  «Непрофессионального человека он никогда не поставит на ту или иную должность. То есть профессионализм – это ключевой момент. Ну и второй момент – это, конечно, человеческие качества. Сколько может быть профессионалов, но «с гнильцой» внутри. Конечно, вокруг него и такие люди попадались, к сожалению. Несмотря на свой профессионализм, они его подводили и предавали. Ну, все знаем все примеры, которые существовали. Нурсултан Абишевич сильно переживал за некоторые ошибки, когда люди его предавали. Когда его предают, он очень сильно переживает. Жизнь такова, что это происходит», – подытожил глава ведомства.",-1,https://netstorage-nur.akamaized.net/images/37baba13c9354d74_w.jpg?imwidth=900,https://www.nur.kz/1803508-ego-predavali-masimov-rasskazal-o-perezivaniah-nazarbaeva.html
10,nur.kz,«Лучше уйти на один день раньше»: как Назарбаев рассказал Масимову о своей отставке,"Признание главы КНБ прозвучало в документальном фильм о Нурсултане Назарбаеве «Искусство быть Лидером», презентованном на телеканале «Хабар».  «За один-два дня до 19 марта Нурсултан Абишевич немного приоткрыл тайну в разговоре со мной о том, что будет принято такое решение, что он будет слагать с себя полномочия и дальше все будет двигаться в конституционном поле.  Я считал, что, может быть, этого делать не нужно, я считал, что, может быть, еще время не настало. Мой совет Нурсултану Абишевичу был: «Какой смысл сейчас принимать такое решение, может быть, не стоит торопиться, мандат истекает только в конце 2020 года».  Нурсултан Абишевич мне сказал, что лучше уйти на один день раньше, чем на один день позже: «И я принимаю такое решение, и ты поймешь, господин помощник, что я прав. Все нужно делать в свое время, и все нужно делать вовремя».  Жизнь показывает, что он прав», - заключил Масимов.  Напомним, 19 марта 2019 года Нурсултан Назарбаев сложил с себя полномочия президента. Должность перешла к спикеру сената",1,https://netstorage-nur.akamaized.net/images/680b804a5e7aa3b8.jpg?imwidth=900,https://www.nur.kz/1803507-lucse-ujti-na-odin-den-ranse-kak-nazarbaev-rasskazal-masimovu-o-svoej-otstavke.html
11,nur.kz,"Ильясов раскрыл тайну знаменитого ""веселого"" фото Назарбаева с Бушем-младшим","Чрезвычайный и полномочный посол РК в королевстве Нидерландов Магжан Ильясов поделился историей знаменитого снимка в фильме о Елбасы ""Искусство быть Лидером"".  ""Есть знаменитая фотография, на которой наша делегация во главе с Елбасы в Овальном кабинете и там все смеются. Все спрашивают: что там было, что там было?  А там была интересная история, потому что мы прибыли в Белый дом не сразу из Казахстана, напрямую, а остановились в Вашингтоне по приглашению Джорджа Буша-старшего, отца президента США на тот момент. Провели там незабываемые 48 часов.  Когда мы прибыли в Вашингтон, Джордж Буш-старший сказал:  ""Моему сыну передайте, пожалуйста, что на выходные мы будем в боулинг играть и я ему надеру задницу"". Вот он так прямо и сказал, потом обратился ко мне и сказал: ""Молодой человек, я прошу вас перевести слово в слово"". Когда Нурсултан Абишевич это услышал он спросил:  ""А удобно ли, президенту США такой месседж от Вас передавать?"".  Буш-старший говорит:  ""Ну это, как отец сыну передает, передайте, просьба такая""",1,https://netstorage-nur.akamaized.net/images/3ac2b73268ad3063.jpg?imwidth=900,https://www.nur.kz/1803506-ilasov-raskryl-tajnu-znamenitogo-veselogo-foto-nazarbaeva-s-busem-mladsim.html
12,nur.kz,10 креативных способов справиться с Bottle Cap Challenge,"Bottle Cap Challenge - пока самый популярный флешмоб этого лета.  В нем уже приняли участие актеры Джейсон Стейтем и Райан Рейнольдс, певцы Джонн Майер и Элли Голдинг, футболисты Поль Погба и Златан Ибрагимович и тысячи простых пользователей Сети.  Но некоторые считают, что просто открыть бутылку ногой - слишком просто и скучно. Предлагаем подборку 10 самых креативных способов поучаствовать в Bottle Cap Challenge.",1,https://netstorage-nur.akamaized.net/images/5ebae6d51813f1fd.jpg?impolicy=common-image&imwidth=700,https://www.nur.kz/1803488-10-kreativnyh-sposobov-spravitsa-s-bottle-cap-challenge.html
14,nur.kz,Фото 16-летней Анджелины Джоли в нижнем белье впервые появились в Сети,"Знаменитый фотограф Шон Макколл опубликовал ранее неизданные снимки юной Анджелины Джоли. Фото были сделаны в 1991 году, сообщает издание Vintage Everyday.",1,https://netstorage-nur.akamaized.net/images/47e5947965aaf572.jpg?imwidth=900,https://www.nur.kz/1803484-foto-16-letnej-andzeliny-dzoli-v-niznem-bele-vpervye-poavilis-v-seti.html
17,nur.kz,"""Умный город"" хотят сделать из Арыси (фото)","Сообщается, что на совещании заместитель премьер-министра поручил министерству цифрового развития, инноваций и аэрокосмической промышленности и нескольким компаниям, таким как ""Казахтелеком"" и ""Транстелеком"", совместно с акиматом Туркестанской области заняться вопросом создания ""умного города"".  Для этого в Арыси должны быть улучшены все сферы жизнедеятельности, начиная от безопасности и заканчивая коммунальными службами и интернетом.  Касымбек поручил привести в порядок городские системы водообеспечения и оросительные каналы.",1,https://netstorage-nur.akamaized.net/images/7081cdd65b4742da.jpg?imwidth=900,https://www.nur.kz/1803482-umnyj-gorod-hotat-sdelat-iz-arysi-foto.html
18,nur.kz,"Когда спишут штрафы и пени по кредитам казахстанцев, рассказали в Нацбанке","Согласно документу, АО ""Фонд проблемных кредитов"" будет выпускать облигации и размещать их.  После этого банки второго уровня и микрофинансовые организации должны погасить начисленную неустойку, то есть штрафы и пени. Это должно быть сделано до 30 июля текущего года.  Далее эти организации предоставляют данные о суммах прощенной неустойки по договорам банковского займа и предоставления микрокредита по состоянию на 1 июля 2019 года акционерному обществу ""Государственное кредитное бюро"". Срок исполнения - до 2 августа этого года.  Кредитное бюро предоставляет данные о суммах прощенной неустойки и по каждому кредиту в Фонд. Срок исполнения - до 9 августа 2019 года.  После этого Фонд заключает соглашение с каждой микрокредитной организацией и банком второго уровня о возмещении части списанных штрафов и пени. Условия возмещения предусмотрены постановлением.  Банки и микрокредитные организации обязаны представить данные о фактически прощенной задолженности по уплате неустойки в Нацбанк.  Срок исполнения, указанный",-1,https://netstorage-nur.akamaized.net/images/850434832a9c0af2.jpg?imwidth=900,https://www.nur.kz/1803475-kogda-spisut-strafy-i-peni-po-kreditam-kazahstancev-rasskazali-v-nacbanke.html
21,nur.kz,Замакима Алматы Арман Кырыкбаев ушел в учебный отпуск,"Работал он на этой должности с 16 октября 2015 года.  Напомним, накануне должность замакима получил Ержан Бабакумаров.  На официальном сайте акимата Алматы сообщается, что Бабакумаров будет курировать сферы общественного развития, образования, культуры и спорта, общественного здоровья.  Новый замакима организует работу комиссий по делам женщин и семейно-демографической политики акима, по делам несовершеннолетних и защите их прав и прочие.",1,https://netstorage-nur.akamaized.net/images/dbf34b4c33e019d7.jpg?imwidth=900,https://www.nur.kz/1803473-zamakima-almaty-arman-kyrykbaev-usel-v-ucebnyj-otpusk.html
24,nur.kz,Женщина обворовала пятилетнего ребенка в Талдыкоргане,"Неприятный инцидент произошел 5 июля.  Как сообщили в полиции, женщина подошла к ребенку и якобы по поручению матери сняла с нее золотые серьги. После этого она скрылась в неизвестном направлении.  Стражи порядка в тот же день задержали подозреваемую. Ею оказалась 30-летняя жительница Талдыкоргана.  «Женщина вполне благополучна, работает в торговле, семейная, вместе с супругом воспитывает двух детей. Свой поступок она объяснить не может"", - сообщили в полиции. Сережки удалось найти в одном из ломбардов города. Украшения вернули законной владелице.  Подозреваемую на время расследования отпустили домой.",-1,https://netstorage-nur.akamaized.net/images/6666e2bb71498636.jpg?imwidth=900,https://www.nur.kz/1803458-zensina-obvorovala-patiletnego-rebenka-v-taldykorgane.html
27,nur.kz,"Қалыңдығына ашуланған қызылордалық күйеу жігіт ""Ұзату тойынан"" кетіп қалған","Ақмаралдың (ред. ескертпе кейіпкердердің аты өзгертілген) айтуынша, үлкен өмірге қадам басып жатқан бойжеткен өзінің немере сіңлісі екен. Оқу бітіріп, жұмыс істеп қалған Сұлушаш үшін ата-аналары біраз уақыт уайымдап жүрген екен. Алайда қыздары 27 жасында болашақ жары Дастанды кездестіріпті. Бір-бірін ұнатқан жастар көп ұзамай үйленетін болып шешкен.  ""Сұлушаштың жаңалығын барлығымыз қуана қабылдадық. Түр сымбаты келіскен сіңлімнің тұрмысқа шығып, бөлек отбасы болғанын тілейтін едім. Жолықтырған азаматы оқыған әрі ауқатты жердің баласы болып шықты. Екі тарап кездесіп, той күнін белгіледік. Сіңлімді қолдан ұазататын болғандықтан, дайындықты ертерек бастап кеттік. Сұлушаштың анасы бірден дүниесімен беретін болып шешті. Әулиет болып қаржылай көмектесіп, қолдау білдірдік"", - дейді қызылордалық келіншек. Сұлушаш үйінен ұзатылатын болған. Үйдің ауласына ұзынынан шатыр құрылып, келген қонақтарға ыңғайлы жағдай жасалыпты. Болашақ құдалар белгіленген уақыттан кешікпей келіп, қазақы салт-дәстүрлер ретімен жасалған екен.",1,https://netstorage-nur.akamaized.net/images/b8355e61fe7d6af7.jpg?imwidth=900,https://kaz.nur.kz/1803472-kalydygyna-asulangan-kyzylordalyk-kjeu-zigit-zatu-tojynan-ketip-kalgan.html
29,nur.kz,Автобус врезался во внедорожник в Алматы: пострадали пассажиры (фото),"Инцидент произошел перед перекрестком с кольцевым движением по улице Сейфуллина на пересечении с Рыскулова.  Внедорожник остановился, чтобы пропустить движущийся в приоритетном направлении транспорт, в этот момент в него влетел автобус №34. Водитель общественного транспорта не успел среагировать и не затормозил.  Трех пассажирок автобуса отправили в больницу.  Полиция разбирается в произошедшем.",-1,https://netstorage-nur.akamaized.net/images/1a9c4302c39b06d1.jpg?imwidth=900,https://www.nur.kz/1803467-avtobus-vrezalsa-vo-vnedoroznik-v-almaty-postradali-passaziry-foto.html
31,nur.kz,20-летнего парня насмерть зажало между двумя авто в СТО Алматы,"Трагический инцидент произошел в Алатауском районе, на улице Карпатская.  По словам очевидцев, сотрудник персонала СТО хотел переставить автомобиль, стоявший на станции.  Он не заметил стоявшего позади машины коллегу. Сдавая задним ходом, сбил парня.  Молодого человека зажало между двумя автомобилями.  Он скончался на месте до приезда врачей.",-1,https://netstorage-nur.akamaized.net/images/52eb8f7937c99afe.jpg?imwidth=900,https://netstorage-nur.akamaized.net/images/52eb8f7937c99afe.jpg?imwidth=900
34,nur.kz,Знаменитое озеро горит в Каракалпакстане,"По их данным, огонь мог вспыхнуть после того, как в камыш, растущий в озере, попала молния – 4 июля в этом районе как раз бушевала гроза.  Водоем является местом обитания фламинго, диких лебедей и прочих водоплавающих редких птиц.  Как пишет nuz.uz, огонь охватил множество островов, где вьют свои гнезда и выращивают потомство птицы. Что теперь с ними будет, представить страшно.",-1,https://netstorage-nur.akamaized.net/images/16503bd97a1ab7d3.jpg?imwidth=900,https://www.nur.kz/1803464-znamenitoe-ozero-gorit-v-karakalpakstane.html
36,nur.kz,Музей мира и согласия ликвидируют в Нур-Султане,"Согласно постановлению, опубликованному на сайте, знаменитая ""пирамида"" перейдет ""Центру Нурсултана Назарбаева по развитию межконфессионального и межцивилизационного диалога"", который был создан в мае этого года.  Как передает телеканал ""Алматы"", ссылаясь на главу управления комитета по делам религий МИОР Мерекегуль Карабаеву, 18 сентября в ""пирамиде"" состоится секретариат съезда лидеров мировых и традиционных религий.  Кроме того, национальную картинную галерею ""Астана"", находившуюся во Дворце Мира и Согласия, исключают из списка особо важных объектов государственной собственности.  Но музей пока работает, пишет издание со ссылкой на Карабаеву.",-1,https://netstorage-nur.akamaized.net/images/a373fd93fa761116.jpeg?imwidth=900,https://www.nur.kz/1803455-muzej-mira-i-soglasia-likvidiruut-v-nur-sultane.html
38,nur.kz,"""Что стоит за этой красотой"": Масимов о работе Назарбаева на посту президента","Тизер картины опубликовал в своем Twitter пресс-секретарь Первого Президента Айдос Укибай.  ""Этот фильм мог бы иметь другие названия, как «Жизнь за кадром» или «Вне официального протокола». Однако в самом конце съемок у нас получился немного иной сюжет, который выходил за рамки задуманного"" , - рассказал о фильме Укибай. В фильме отечественные и зарубежные политики поделятся своим мнением о Нурсултане Назарбаеве и его работе на посту главы государства.  ""Мы видим его, когда все глянцевое. Как будто без проблем он выходит и принимает решения. Но что стоит за этой красотой, какие человеческие переживания?"" - приведены в картине слова Карима Масимова.",1,https://netstorage-nur.akamaized.net/images/2a223954d7ce4371.jpg?imwidth=900,https://www.nur.kz/1803460-cto-stoit-za-etoj-krasotoj-masimov-rasskazal-o-rabote-nazarbaeva-na-postu-prezidenta.html
39,nur.kz,Смартфон из золота за 2 млн тенге выпустили в честь Дня столицы,"Как передает телеканал, вдохновением для новой коллекции послужило переименование столицы в Нур-Султан.  В линейку вошли 4 товара.  Кнопочный телефон, который выполнен из золота 999-й пробы и украшен гербом страны и надписью с названием столицы. Цена за эксклюзивный мобильный - 1,5 млн тенге.",1,https://netstorage-nur.akamaized.net/images/81814cf5c3a575d6.png?imwidth=900,https://www.nur.kz/1803450-smartfon-iz-zolota-za-2-mln-tenge-vypustili-v-cest-dna-stolicy.html
41,nur.kz,Шесть часов тушили крупнейший за последнее время пожар в Алматинской области,"В Алматинской области 40 гектаров выгорело из-за загоревшегося сухостоя. Пожар полыхал у трассы Алматы-Баканас. По словам очевидцев, в огне погибло множество степных животных, передает КТК.",-1,https://netstorage-nur.akamaized.net/images/73e9af343bc3d582.jpg?impolicy=common-image&imwidth=700,https://www.nur.kz/1803457-sest-casov-tusili-krupnejsij-za-poslednee-vrema-pozar-v-almatinskoj-oblasti-foto-video.html
44,nur.kz,"Водителя автобуса, разбившего баллонным ключом автомобиль карагандинца, уволили","«Он уволен. Кроме того, он будет обязан за свой счет восстановить автомобиль, который он разбил баллонным ключом», - сообщил заведующим сектором ГУ «Отдел ЖКХ, пассажирского транспорта и автодорог» акимата Караганды Искандер Кабидулла. Автомобилист написал заявление в полицию, возбуждено уголовное дело по факту хулиганства.  Напомним, автовладелец сделал замечание водителю автобуса по поводу соблюдения правил дорожного движения. Тот отреагировал агрессивно и, покинув водительское кресло с баллонным ключом в руках, разбил переднюю часть авто.",1,https://netstorage-nur.akamaized.net/images/a088b628f68b4c3b.jpg?imwidth=900,https://www.nur.kz/1803454-voditela-avtobusa-razbivsego-ballonnym-klucom-avtomobil-karagandinca-uvolili.html
46,nur.kz,Влад Топалов и Регина Тодоренко сыграли свадьбу в Италии,"Российский певец Влад Топалов и украинская телеведущая Регина Тодоренко сыграли вторую свадьбу в Италии. Фото с празднования торжества появились в Instagram, передает NUR.KZ.",1,https://netstorage-nur.akamaized.net/images/8049630f721d795e.jpg?impolicy=common-image&imwidth=700,https://www.nur.kz/1803452-vlad-topalov-i-regina-todorenko-sygrali-svadbu-v-italii.html
48,nur.kz,"""Белоснежка. Сказка для взрослых"" и другие интригующие премьеры этого сезона","Представляеи вам очередную порцию киноновинок в нашей сегодняшней подборке от Nurtv.kz. К примеру, фильм ""Мидуэй"", основанный на реальных событиях или комедийная драма ""Маленькие секреты большой компании"".",1,https://netstorage-nur.akamaized.net/images/61a5c38e9229d734.png?imwidth=900,https://www.nur.kz/1803378-belosnezka-skazka-dla-vzroslyh-i-drugie-intriguusie-premery-etogo-sezona.html
50,nur.kz,Европа подверглась нашествию ядовитых гусениц походных шелкопрядов,"Германия, Голландия и другие европейские страны борются с нашествием гусениц дубовых походных шелкопрядов. Волоски на их теле токсичны для человека и могут вызвать аллергическую реакцию или раздражение кожи.",-1,https://netstorage-nur.akamaized.net/images/6ca41d31eb45effb.jpg?imwidth=900,https://www.nur.kz/1803451-evropa-podverglas-nasestviu-adovityh-gusenic-pohodnyh-selkopradov.html
51,nur.kz,Пострадавший в ДТП студент скончался в Алматы,"20-летний студент медуниверситета Асылбек Жумабаев, пострадавший в ДТП, скончался в Алматы. Печальную новость опубликовала Instagram-страница университета, передает NUR.KZ.",-1,https://netstorage-nur.akamaized.net/images/25af31b936129a6d.jpg?impolicy=common-image&imwidth=700,https://www.nur.kz/1803448-postradavsij-v-dtp-student-skoncalsa-v-almaty.html
